id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
29906103,Lindo departamento en la zona recoleta 3 amb!,220091739,Gaston,,Recoleta,-34.59105,-58.39784,Entire home/apt,2000,2,79,2020-02-09,2.86,1,31
29906688,NEW! Best Location in Palermo!,11258401,Natalia,,Palermo,-34.57939,-58.40809,Entire home/apt,2058,3,49,2021-01-09,1.75,14,334
29907459,ALQUILO HABITACIÓN VISTA PANORÁMICA EN SAN TELMO,2286070,Mariana,,Monserrat,-34.61509,-58.37345,Private room,1342,60,0,,,2,365
29908144,Excelente departamento en el corazón de Recoleta,69266301,Sol,,Recoleta,-34.59253,-58.39601,Entire home/apt,1900,7,0,,,1,116
29914912,Hermoso depto nuevo a 50 m de subte.,224929425,Luciano,,San Cristobal,-34.62271,-58.39849,Entire home/apt,2684,25,1,2019-11-05,0.06,1,363
29915366,Disfrutando Buenos Aires,27891544,Nora,,Retiro,-34.59461,-58.37982,Entire home/apt,1903,2,13,2020-02-07,0.47,1,346
29916082,Coqueto apartamento para 2 personas en Bs As,3469227,Federico,,San Nicolas,-34.60413,-58.39058,Entire home/apt,3310,3,0,,,124,365
29916589,"VivIr Palermo!. Dpto Luminoso, Cómodo y Seguro.",38155483,Ingrid,,Palermo,-34.59723,-58.42015,Entire home/apt,2812,2,57,2020-01-03,2.11,1,36
29916764,Junior Suite con cochera!,193739109,Ruben,,Palermo,-34.55749,-58.44039,Entire home/apt,4567,5,30,2020-01-25,1.08,5,239
29917336,"Beautiful apartment in Belgrano, light and comft.",223143977,Marcelo,,Belgrano,-34.564,-58.45361,Entire home/apt,4030,1,38,2019-12-26,1.37,1,144
29918919,"Hotel Own Madero, Buenos Aires!",124997533,Aline,,Monserrat,-34.61234,-58.36906,Private room,8200,5,0,,,1,363
29919017,Bright and spacious one bedroom in Palermo Soho,6209382,Virginia,,Palermo,-34.58443,-58.42861,Entire home/apt,1342,6,4,2020-02-09,0.15,2,125
29919078,Luxury Apartment 60m2 - Pool - Palermo Hollywood,154815113,Marcela,,Palermo,-34.57608,-58.43518,Entire home/apt,3668,7,14,2020-01-31,0.53,2,365
29919264,Cozy and sunny apartment in BA,7667722,Maite,,Belgrano,-34.5633,-58.4603,Entire home/apt,2415,28,1,2019-01-31,0.04,2,270
29919509,Affordable apartment in Buenos Aires 2 pax,3882929,Florencia,,Almagro,-34.6024,-58.42602,Entire home/apt,2147,3,11,2021-01-24,0.44,13,261
29921984,Comfortable & elegant apartment,24334682,Paula,,Recoleta,-34.59168,-58.40812,Entire home/apt,5636,4,10,2020-01-04,0.36,4,54
29924207,SUNNY STUDIO 7 - monoambiente super luminoso,5290110,Sofía,,Saavedra,-34.54475,-58.47235,Entire home/apt,895,1,14,2021-02-14,0.65,4,54
