id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
45762863,Homey place just for you | 2BR in Columbus,359234447,Kia,,Far North,40.12051,-83.0139,Entire home/apt,132,30,0,,,11,360
45773044,The Goodale Park Overlook,52174539,Kate & Nat,,Near North/University,39.977,-83.00932,Entire home/apt,211,2,5,2021-01-08,1.63,11,136
45799524,Pet Friendly 1 BD Large Stylish Miller 2D,174256511,Nicholas,,Near East,39.95509,-82.96066,Entire home/apt,59,2,3,2021-01-29,0.69,14,365
45800085,"Large Stylish Studio, Pet Friendly  2111 5th",174256511,Nicholas,,South Linden,39.9861,-82.94839,Entire home/apt,54,2,9,2021-02-12,2.03,14,365
45801625,Pet Friendly 1 BD Large Stylish Miller 3D,174256511,Nicholas,,Near East,39.95349,-82.96044,Entire home/apt,56,2,5,2021-02-14,1.13,14,0
45803806,Cozy 2 Bedroom Apartment,265507545,Jacquelyn,,Rocky Fork-Blacklick,40.09027,-82.85764,Entire home/apt,50,30,0,,,1,89
45866694,Brand New 3BD/2BA 5 Mins to Downtown/Short North!,9152651,Jon,,South Linden,39.98232,-82.99217,Entire home/apt,151,2,16,2021-02-15,3.93,18,255
45867034,Entire House - Comfy & Clean Getaway Near Downtown,218759526,Rosaria,,Franklinton,39.95235,-83.02578,Entire home/apt,85,1,17,2021-02-07,5.15,2,11
45887439,OSU North Campus Security Building 2BR Apartment#1,2155166,Leah,,Near North/University,40.00685,-83.01858,Entire home/apt,30,30,0,,,2,292
45897360,Pet Friendly 1 Bedroom 771 Northview C,174256511,Nicholas,,Northeast,39.98675,-82.93326,Entire home/apt,54,2,7,2021-02-14,1.94,14,365
45897480,Pet Friendly 1 Bedroom Northview H,174256511,Nicholas,,Northeast,39.98696,-82.93446,Entire home/apt,54,2,4,2021-02-09,1.29,14,362
45902943,OSU North Campus Security Building 2BR Apt 1 room,2155166,Leah,,West Olentangy,40.00832,-83.02018,Private room,30,30,1,2020-12-31,0.55,2,272
45913412,Whole House German Village - Frankfort,10031170,The House Hotels,,Near South,39.94634,-82.99918,Entire home/apt,244,1,1,2021-02-07,1,6,11
45915378,"SPACIOUS 3BR KING BED💚Minutes from downtown, NEW!",329467903,Renae,,Near South,39.95006,-82.95997,Entire home/apt,74,1,30,2021-02-20,7.38,2,148
45924545,★ Trendy Spot Newly Remodeled in the <3 of it all!,273519092,Adriana,,Near East,39.95799,-82.96919,Entire home/apt,152,2,8,2021-02-15,3.29,1,75
45951832,"Quiet, Non-smokers only room, 10min to the airport",25174418,Pascaline,,Northeast,40.02987,-82.92903,Private room,30,30,7,2021-01-31,1.65,2,120
45956411,Spacious Home Minutes from Downtown & Short North,359438260,Austin,,Near North/University,39.9835,-83.01956,Entire home/apt,87,1,9,2021-01-10,2.50,34,0
45956724,"Historic Spacious 4 bedroom / 3 bath, Detached 2 car garage",359438260,Austin,,Near East,39.97129,-82.97395,Entire home/apt,126,2,20,2021-02-08,4.92,34,72
45959021,Modern Downtown Luxury Apartment w/ View,224493353,Dom,,Downtown,39.95856,-83.00083,Entire home/apt,93,2,5,2021-01-23,1.26,5,294
45959893,"Quiet Nonsmokers room, near airport & Easton mall",25174418,Pascaline,,Northeast,40.03123,-82.92932,Private room,30,2,8,2021-02-22,1.95,2,161
45987335,CityWalk- Short North/Arena/Convention Center,356660084,Nia,,Downtown,39.97354,-83.00259,Entire home/apt,118,2,3,2021-02-14,1.55,1,168
46008624,Clintonville Charmer | Walk to Great Restaurants!,52174539,Kate & Nat,,Clintonville,40.04941,-83.02403,Entire home/apt,146,2,2,2020-11-22,0.61,11,61
46023497,Old Town East 1 bed sleeps 4 pet friendly Forest C,174256511,Nicholas,,Near South,39.94709,-82.97072,Entire home/apt,55,2,5,2021-02-11,1.26,14,344
46033890,Upstairs Bedroom in Victorian Village,47347495,Lisa,,Near North/University,39.97902,-83.01321,Private room,70,30,2,2021-02-09,1.07,1,42
46053946,Harrison West Modern Condo - Columbus Skyline View,56286675,David,,Near North/University,39.97825,-83.01873,Entire home/apt,100,30,0,,,1,0
46070164,Value Stay + Great Location,365769483,Easy,,Far West,40.01209,-83.15317,Entire home/apt,73,2,0,,,1,365
46078953,Bexley Mid-Mod Masterpiece near Downtown & Airport,10620281,Robert,,Eastmoor/Walnut Ridge,39.97016,-82.92291,Entire home/apt,224,2,6,2021-02-21,2.50,6,130
46086691,Historic Spacious 3 bedroom/2.5 bath with Parking!,359438260,Austin,,Near East,39.9539,-82.9636,Entire home/apt,120,2,6,2021-01-28,1.91,34,87
46087696,Massive New 4B/3BA 5 Mins to Downtown/Short North!,9152651,Jon,,South Linden,39.98228,-82.99084,Entire home/apt,162,2,5,2021-02-17,3.33,18,294
46089678,Washer & Dryer | Dedicated Workspace | University & Short North!,8963103,Sarah,,Near North/University,39.9927,-82.99962,Entire home/apt,72,2,4,2020-11-25,1.12,18,113
46096380,Entire Carriage Home in  Historic German Village,373586753,Amanda,,Near South,39.948,-82.99568,Entire home/apt,92,1,0,,,1,248
46103636,Spacious 2 BR 2.5 BA Townhouse in Olde Towne East,86323915,Jenny,,Near East,39.96363,-82.97106,Entire home/apt,75,30,1,2021-01-31,1,1,88
46137753,Charming German Village Cottage - Free Parking!!,373870735,Robert,,Near South,39.94532,-82.98474,Entire home/apt,161,2,6,2021-02-03,1.67,1,170
46159660,The Jungle Book 🌿 - Short North / OSU / Downtown,109117484,Sergio,,Near North/University,39.97494,-83.00873,Entire home/apt,101,1,39,2021-02-22,10.83,4,327
46190767,The Cozy King Lincoln,165232727,McDaniel Management,,Near East,39.96758,-82.97438,Entire home/apt,229,2,7,2021-02-14,2.23,2,0
