id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1941294,Private room in Rockridge home,1272555,Amy,,Rockridge,37.84374,-122.25481,Private room,99,2,2,2015-09-26,0.03,3,0
1950361,Views & Comfort in Oakland Hills,9878582,Terry,,Merriwood,37.83865,-122.20342,Entire home/apt,275,5,14,2020-03-20,0.16,1,325
1995676,Private Getaway in the Oakland Hills,10285559,Linda,,Piedmont Pines,37.82488,-122.19334,Entire home/apt,135,4,104,2020-11-25,1.18,1,326
2008590,Modern Sunny Clean Location x 3,10337250,Ramona,,Trestle Glen,37.80906,-122.24203,Entire home/apt,129,1,337,2021-01-01,4.01,1,336
2042725,"Private Elegance, Rockridge Oakland",5449234,Linda,,Fairview Park,37.84982,-122.25721,Entire home/apt,95,5,61,2020-12-08,0.70,1,318
2061850,"Great View, Huge House, Master BR!",8049342,Nancy,,Lincoln Highlands,37.80412,-122.20064,Private room,50,30,11,2018-05-04,0.15,1,358
2074999,⋆ Luxury Rockridge Casita in Sunny Garden ⋆,201447,Diana,,Shafter,37.83981,-122.25344,Entire home/apt,150,2,291,2021-02-07,3.37,2,12
2083904,Fairytale Home in Lower Oakmore,5804996,Emmanuel,,Oakmore,37.80697,-122.21338,Entire home/apt,145,2,12,2019-08-04,0.19,1,204
2102463,Beautiful Montclair retreat--3br,115624,Caren,,Merriwood,37.84293,-122.20869,Entire home/apt,225,45,17,2021-02-07,0.20,1,252
2108566,Charming Lake Merritt Apartment,4587019,Laura,,Cleveland Heights,37.80281,-122.24296,Private room,65,2,6,2016-08-23,0.10,2,88
2164009,Z-Place,5341775,David,,Clawson,37.82183,-122.27716,Entire home/apt,300,2,108,2021-02-16,1.27,1,365
2165320,Serenity Now- A Large Private Suite,2916691,Larry,,Crocker Highland,37.81248,-122.22842,Private room,74,4,296,2021-02-08,3.52,2,114
2182169,Garden Studio in Montclair Hills,11127700,Jennifer,,Glen Highlands,37.84485,-122.22074,Entire home/apt,62,2,189,2020-11-20,2.24,2,364
2217748,"Quiet, woodsy Oakland Hills home",11314584,Maria Fernanda,,Merriwood,37.83898,-122.20097,Entire home/apt,295,5,1,2014-08-13,0.01,1,357
2276882,Eco-friendly! Room in North Oakland,11626098,Jon,,Bushrod,37.84724,-122.26618,Private room,57,10,72,2019-08-15,0.86,1,59
2337634,Bright Rockridge Studio,420440,Lisa,,Fairview Park,37.84473,-122.25787,Entire home/apt,125,2,198,2020-03-11,2.33,1,265
2346315,cloud room in a two bedroom house,11983063,Tatyana,,Dimond,37.79538,-122.20794,Private room,50,2,35,2016-12-28,0.41,1,51
2396712,Lovely Spanish Revival Private Room nr Highland H,12244168,Karin,,Oakmore,37.81051,-122.21374,Private room,56,2,71,2020-12-01,0.86,3,336
2442476,Cozy Family Friendly 2 Bed 2 Bath Urban Retreat,3514,Jon And Jen,,Upper Laurel,37.79469,-122.19846,Entire home/apt,175,30,97,2020-02-26,1.16,7,1
2442776,The Chetwood: Grand Lake Sanctuary & Art Residency,763380,Terri,,Grand Lake,37.81844,-122.24713,Entire home/apt,115,14,241,2020-12-30,2.92,1,327
2448203,Comfy shared space w/ lots of extras (room 1 of 2),12520821,Ruth,,Glenview,37.80604,-122.22494,Private room,59,1,181,2020-12-20,2.21,2,70
2487676,"Private, Updated Oak/Berk Studio",12120704,Isaak,,Bushrod,37.84433,-122.26433,Entire home/apt,75,14,32,2021-02-12,0.39,2,162
2501305,Glenview Private Apartment,5940634,Grace And Lucia,,Glenview,37.81101,-122.21821,Entire home/apt,85,2,288,2020-04-13,3.42,1,333
2599217,Oasis in the Oakland Hills,12191702,Faheem,,Merriwood,37.84024,-122.21105,Entire home/apt,79,10,11,2016-06-06,0.14,2,171
2645093,Special Modern Craftsman with Meditation Garden,13542415,Leanne,,Glenview,37.81274,-122.21734,Private room,65,1,39,2020-02-04,0.57,1,357
2653223,Cottage in Temescal,13581757,Whitney,,Temescal,37.83528,-122.25482,Entire home/apt,95,1,44,2021-02-17,0.56,1,338
2702280,Sun-drenched art-filled garden cottage in Dimond,3975987,Amanda,,Upper Dimond,37.80401,-122.20957,Entire home/apt,110,2,160,2020-11-28,1.95,1,349
2795108,"Garden Cabin fast WIFI, workspace and HOT TUB BART",3654316,Suellen,,Longfellow,37.82933,-122.27514,Entire home/apt,77,2,148,2021-02-08,1.78,4,311
2803125,Oakland/Montclair Hills.,1603767,Ivan,,Forestland,37.83837,-122.19041,Entire home/apt,415,3,3,2015-06-02,0.04,1,358
2919297,OAKLAND/PIEDMONT BORDER,12765908,Joan,,Grand Lake,37.82135,-122.2497,Private room,90,1,190,2020-02-27,2.30,1,365
2967963,Charming Bay View Montclair Cottage,11127700,Jennifer,,Glen Highlands,37.83853,-122.21924,Entire home/apt,130,2,187,2021-02-01,2.28,2,163
3022039,Handsome Family Home in Crocker,15400306,Lisa,,Lakeshore,37.81585,-122.2361,Entire home/apt,420,4,7,2017-06-15,0.10,1,303
3022391,Lake Merritt Charmer,7488007,Nate,,Adams Point,37.8084,-122.25558,Entire home/apt,237,1,20,2020-07-31,0.24,3,365
3048636,A Private Room with a shared bath - Lake Merritt,958181,Azar,,Lake Merritt,37.80398,-122.26115,Private room,100,1,29,2020-01-03,0.94,1,0
3084744,"Modern Fresh 2BR in Rockridge / Berkeley, Walkable",2771055,Lolo,,Fairview Park,37.84742,-122.25927,Entire home/apt,181,1,172,2020-01-04,2.14,1,279
3102369,Cozy home in a diverse and walkable neighborhood,683131,Ashley,,Allendale,37.78742,-122.20207,Entire home/apt,55,1,28,2020-12-23,0.60,1,49
3158496,North Oakland 2/2 Craftsman House with Garden,2209150,Connie,,Paradise Park,37.84397,-122.27988,Entire home/apt,95,56,10,2019-09-22,0.19,1,7
3183394,Charming studio in FAB location!,3838431,Lori,,Upper Rockridge,37.84656,-122.24216,Entire home/apt,80,5,84,2020-08-05,1.03,1,282
3185811,Sanctuary for the Traveler - Private Space,5250635,Allison,,Frick,37.77329,-122.19074,Private room,33,2,188,2020-03-25,2.35,1,232
3193431,Modern Urban Retreat,16186255,Kay Marie & Gerald,,Trestle Glen,37.8104,-122.23814,Entire home/apt,130,5,263,2021-01-18,3.26,1,3
3209094,STUNNING home - Lower hills - Oakland,6262310,Laura,,Oakmore,37.8114,-122.21088,Entire home/apt,280,3,17,2020-02-10,0.21,1,51
3238531,Large 2bdrm flat in fun Temescal,6163970,Andy,,Temescal,37.83559,-122.26374,Entire home/apt,60,2,91,2021-01-01,1.25,2,322
3264911,Mid Century Vibes in a Light-filled Artist's Flat,7944915,JoSon,,Longfellow,37.83306,-122.27693,Entire home/apt,139,30,16,2020-10-02,0.20,1,89
